  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
   410,     P-993,   2025/07/26 20:02:27,Picarro_Sample_Tray-83,      18,        -6.740,       -12.616,      -107.197,        -0.059,         12273,       0,    1,                                        ,                                        ,                 H2O, 1753585621.50,         0.190,         0.178,         0.581,         0.145,        88.871,        -0.000,         0.000,         1.499,        48.137,        25.587,         0.661,        44.522,         0.942,        -0.069,        0.0000,       -0.0000,    0,        40.438,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   411,     P-993,   2025/07/26 20:11:27,Picarro_Sample_Tray-83,      19,        -6.712,       -12.590,      -107.206,        -0.045,         12360,       0,    1,                                        ,                                        ,                 H2O, 1753586161.52,         0.198,         0.175,         0.605,         0.146,        88.416,         0.000,         0.000,         1.484,        48.566,        25.800,         0.667,        44.629,         0.941,        -0.047,       -0.0000,        0.0000,    0,        40.375,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   412,     P-993,   2025/07/26 20:20:27,Picarro_Sample_Tray-83,      20,        -6.711,       -12.574,      -107.202,        -0.053,         12302,       0,    1,                                        ,                                        ,                 H2O, 1753586702.07,         0.186,         0.173,         0.688,         0.152,        88.004,         0.000,        -0.000,         1.486,        48.323,        25.599,         0.663,        44.546,         0.942,        -0.097,       -0.0000,        0.0000,    0,        40.250,Picarro_Sample_Tray,      83,       2,    UBC_01,       0,       1
   413,     P-994,   2025/07/26 20:29:40,Picarro_Sample_Tray-84,       1,        -7.223,       -13.575,      -122.836,        -0.032,         12754,      -1,    1,                                        ,                                        ,                 H2O, 1753587255.02,         0.186,         0.173,         0.662,         0.143,        91.155,         0.000,         0.002,         1.528,        50.386,        26.750,         0.678,        45.331,         0.943,        -0.164,       -0.0000,       -0.0000,    0,        40.250,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   414,     P-994,   2025/07/26 20:38:41,Picarro_Sample_Tray-84,       2,        -7.246,       -13.585,      -124.014,        -0.051,         12330,      -1,    1,                                        ,                                        ,                 H2O, 1753587795.34,         0.174,         0.160,         0.637,         0.134,        89.304,         0.000,         0.001,         1.504,        48.393,        25.917,         0.646,        43.908,         0.941,        -0.071,       -0.0000,       -0.0000,    0,        40.250,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   415,     P-994,   2025/07/26 20:47:41,Picarro_Sample_Tray-84,       3,        -7.206,       -13.566,      -124.337,        -0.021,         12297,      -1,    1,                                        ,                                        ,                 H2O, 1753588335.88,         0.194,         0.177,         0.672,         0.147,        88.270,        -0.000,         0.001,         1.487,        48.356,        25.872,         0.661,        43.228,         0.942,        -0.227,       -0.0000,       -0.0000,    0,        40.250,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   416,     P-994,   2025/07/26 20:56:41,Picarro_Sample_Tray-84,       4,        -7.251,       -13.578,      -124.346,        -0.059,         12272,       0,    1,                                        ,                                        ,                 H2O, 1753588875.60,         0.177,         0.154,         0.634,         0.143,        87.548,         0.000,         0.001,         1.475,        48.118,        25.524,         0.658,        44.628,         0.942,         0.019,       -0.0000,        0.0000,    0,        40.188,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   417,     P-994,   2025/07/26 21:05:42,Picarro_Sample_Tray-84,       5,        -7.257,       -13.604,      -124.541,        -0.051,         12302,       0,    1,                                        ,                                        ,                 H2O, 1753589416.87,         0.185,         0.178,         0.605,         0.141,        88.898,        -0.000,         0.002,         1.508,        48.343,        25.608,         0.655,        44.162,         0.940,        -0.084,       -0.0000,        0.0000,    0,        40.188,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   418,     P-994,   2025/07/26 21:14:42,Picarro_Sample_Tray-84,       6,        -7.200,       -13.572,      -124.430,        -0.011,         12288,       0,    1,                                        ,                                        ,                 H2O, 1753589957.12,         0.189,         0.157,         0.642,         0.151,        87.639,        -0.000,         0.001,         1.482,        48.242,        25.546,         0.652,        44.447,         0.941,        -0.025,       -0.0000,       -0.0000,    0,        40.250,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   419,     P-994,   2025/07/26 21:23:42,Picarro_Sample_Tray-84,       7,        -7.234,       -13.586,      -124.612,        -0.038,         12322,       0,    1,                                        ,                                        ,                 H2O, 1753590496.32,         0.210,         0.179,         0.692,         0.155,        89.166,         0.000,         0.002,         1.499,        48.443,        25.830,         0.661,        43.665,         0.941,        -0.185,        0.0000,       -0.0000,    0,        40.188,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   420,     P-994,   2025/07/26 21:32:42,Picarro_Sample_Tray-84,       8,        -7.238,       -13.598,      -124.572,        -0.035,         12306,       0,    1,                                        ,                                        ,                 H2O, 1753591037.29,         0.171,         0.170,         0.588,         0.130,        89.048,        -0.000,         0.002,         1.503,        48.330,        25.736,         0.646,        43.990,         0.941,        -0.085,        0.0000,       -0.0000,    0,        40.125,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   421,     P-994,   2025/07/26 21:41:43,Picarro_Sample_Tray-84,       9,        -7.244,       -13.591,      -124.563,        -0.045,         12289,       0,    1,                                        ,                                        ,                 H2O, 1753591577.78,         0.189,         0.167,         0.636,         0.155,        87.946,         0.000,         0.001,         1.482,        48.252,        25.540,         0.661,        44.488,         0.943,        -0.059,       -0.0000,       -0.0000,    0,        40.188,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   422,     P-994,   2025/07/26 21:50:43,Picarro_Sample_Tray-84,      10,        -7.250,       -13.603,      -124.603,        -0.045,         12292,       0,    1,                                        ,                                        ,                 H2O, 1753592118.53,         0.186,         0.161,         0.597,         0.143,        88.665,         0.000,         0.001,         1.497,        48.246,        25.690,         0.647,        44.080,         0.943,        -0.067,       -0.0000,       -0.0000,    0,        40.250,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   423,     P-994,   2025/07/26 21:59:43,Picarro_Sample_Tray-84,      11,        -7.236,       -13.569,      -124.554,        -0.049,         12305,       0,    1,                                        ,                                        ,                 H2O, 1753592657.98,         0.181,         0.165,         0.659,         0.134,        88.859,         0.000,         0.002,         1.505,        48.340,        25.609,         0.663,        44.306,         0.941,        -0.078,        0.0000,        0.0000,    0,        40.125,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   424,     P-994,   2025/07/26 22:08:43,Picarro_Sample_Tray-84,      12,        -7.273,       -13.606,      -124.593,        -0.066,         12277,       0,    1,                                        ,                                        ,                 H2O, 1753593198.18,         0.183,         0.174,         0.576,         0.135,        88.790,         0.000,        -0.000,         1.491,        48.131,        25.526,         0.655,        44.719,         0.940,         0.031,       -0.0000,        0.0000,    0,        40.125,Picarro_Sample_Tray,      84,       2,    UBC_01,       0,       1
   425,     P-995,   2025/07/26 22:17:56,Picarro_Sample_Tray-85,       1,        -6.967,       -13.077,      -131.648,        -0.042,         12699,      -1,    1,                                        ,                                        ,                 H2O, 1753593751.30,         0.201,         0.175,         0.636,         0.158,        89.616,        -0.000,         0.001,         1.508,        50.056,        26.467,         0.673,        45.952,         0.943,        -0.016,       -0.0000,       -0.0000,    0,        40.125,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   426,     P-995,   2025/07/26 22:26:56,Picarro_Sample_Tray-85,       2,        -6.969,       -13.051,      -132.195,        -0.057,         12316,      -1,    1,                                        ,                                        ,                 H2O, 1753594291.01,         0.184,         0.171,         0.680,         0.141,        90.753,        -0.000,         0.002,         1.523,        48.279,        25.546,         0.671,        45.085,         0.941,         0.132,       -0.0000,        0.0000,    0,        40.062,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   427,     P-995,   2025/07/26 22:35:57,Picarro_Sample_Tray-85,       3,        -6.960,       -13.023,      -132.363,        -0.063,         12293,      -1,    1,                                        ,                                        ,                 H2O, 1753594831.60,         0.192,         0.152,         0.633,         0.154,        89.298,         0.000,         0.002,         1.508,        48.246,        25.640,         0.657,        44.101,         0.942,        -0.073,       -0.0000,        0.0000,    0,        40.062,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   428,     P-995,   2025/07/26 22:44:57,Picarro_Sample_Tray-85,       4,        -6.956,       -13.039,      -132.458,        -0.050,         12309,       0,    1,                                        ,                                        ,                 H2O, 1753595371.76,         0.196,         0.172,         0.578,         0.148,        88.820,         0.000,         0.001,         1.497,        48.295,        25.788,         0.647,        44.026,         0.941,        -0.065,       -0.0000,       -0.0000,    0,        40.000,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   429,     P-995,   2025/07/26 22:53:57,Picarro_Sample_Tray-85,       5,        -6.942,       -13.044,      -132.512,        -0.034,         12315,       0,    1,                                        ,                                        ,                 H2O, 1753595911.89,         0.186,         0.170,         0.629,         0.139,        89.485,        -0.000,         0.002,         1.513,        48.343,        25.721,         0.655,        44.167,         0.941,        -0.035,        0.0000,       -0.0000,    0,        40.062,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   430,     P-995,   2025/07/26 23:02:57,Picarro_Sample_Tray-85,       6,        -6.949,       -13.027,      -132.529,        -0.050,         12321,       0,    1,                                        ,                                        ,                 H2O, 1753596452.26,         0.209,         0.174,         0.640,         0.157,        89.797,         0.000,         0.001,         1.512,        48.355,        25.801,         0.654,        44.100,         0.940,        -0.062,       -0.0000,       -0.0000,    0,        39.938,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   431,     P-995,   2025/07/26 23:11:57,Picarro_Sample_Tray-85,       7,        -6.956,       -13.032,      -132.556,        -0.054,         12254,       0,    1,                                        ,                                        ,                 H2O, 1753596992.21,         0.191,         0.186,         0.625,         0.144,        89.051,        -0.000,         0.002,         1.503,        48.047,        25.550,         0.647,        44.165,         0.939,        -0.021,       -0.0000,        0.0000,    0,        40.000,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   432,     P-995,   2025/07/26 23:20:57,Picarro_Sample_Tray-85,       8,        -6.932,       -13.045,      -132.617,        -0.023,         12304,       0,    1,                                        ,                                        ,                 H2O, 1753597531.89,         0.192,         0.160,         0.622,         0.149,        88.796,         0.000,         0.001,         1.501,        48.306,        25.767,         0.650,        43.862,         0.942,        -0.088,       -0.0000,       -0.0000,    0,        39.938,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   433,     P-995,   2025/07/26 23:29:57,Picarro_Sample_Tray-85,       9,        -6.959,       -13.021,      -132.559,        -0.063,         12288,       0,    1,                                        ,                                        ,                 H2O, 1753598071.97,         0.196,         0.185,         0.600,         0.141,        87.828,         0.001,         0.000,         1.482,        48.201,        25.640,         0.652,        44.295,         0.941,        -0.018,        0.0000,        0.0000,    0,        39.812,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   434,     P-995,   2025/07/26 23:38:57,Picarro_Sample_Tray-85,      10,        -6.958,       -13.042,      -132.607,        -0.051,         12299,       0,    1,                                        ,                                        ,                 H2O, 1753598612.12,         0.201,         0.174,         0.643,         0.153,        88.914,         0.000,        -0.000,         1.495,        48.220,        25.755,         0.653,        44.205,         0.941,        -0.040,       -0.0000,       -0.0000,    0,        39.938,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   435,     P-995,   2025/07/26 23:47:58,Picarro_Sample_Tray-85,      11,        -6.970,       -13.031,      -132.475,        -0.068,         12310,       0,    1,                                        ,                                        ,                 H2O, 1753599152.94,         0.202,         0.181,         0.646,         0.157,        89.664,        -0.000,         0.002,         1.509,        48.255,        25.395,         0.669,        45.401,         0.941,         0.123,        0.0000,        0.0000,    0,        39.875,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   436,     P-995,   2025/07/26 23:56:57,Picarro_Sample_Tray-85,      12,        -6.943,       -13.003,      -132.559,        -0.056,         12311,       0,    1,                                        ,                                        ,                 H2O, 1753599691.89,         0.203,         0.171,         0.630,         0.163,        89.844,         0.000,         0.003,         1.510,        48.295,        25.536,         0.663,        44.893,         0.942,         0.007,       -0.0000,        0.0000,    0,        39.812,Picarro_Sample_Tray,      85,       2,    UBC_01,       0,       1
   437,     P-996,   2025/07/27 00:06:11,Picarro_Sample_Tray-86,       1,        -8.693,       -16.312,      -167.943,        -0.047,         12782,      -1,    1,                                        ,                                        ,                 H2O, 1753600245.77,         0.207,         0.178,         0.774,         0.152,        90.336,         0.001,         0.004,         1.519,        50.447,        26.773,         0.676,        45.437,         0.940,        -0.022,        0.0000,       -0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   438,     P-996,   2025/07/27 00:15:11,Picarro_Sample_Tray-86,       2,        -8.746,       -16.414,      -170.525,        -0.045,         12277,      -1,    1,                                        ,                                        ,                 H2O, 1753600786.64,         0.203,         0.191,         0.667,         0.147,        89.041,         0.001,         0.004,         1.494,        48.141,        25.788,         0.641,        43.352,         0.942,        -0.091,        0.0000,        0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   439,     P-996,   2025/07/27 00:24:11,Picarro_Sample_Tray-86,       3,        -8.764,       -16.432,      -171.032,        -0.054,         12315,      -1,    1,                                        ,                                        ,                 H2O, 1753601325.50,         0.182,         0.173,         0.645,         0.143,        89.332,         0.000,         0.005,         1.510,        48.291,        25.737,         0.640,        44.005,         0.941,         0.043,        0.0000,        0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   440,     P-996,   2025/07/27 00:33:09,Picarro_Sample_Tray-86,       4,        -8.744,       -16.434,      -171.311,        -0.034,         12323,       0,    1,                                        ,                                        ,                 H2O, 1753601863.75,         0.178,         0.163,         0.689,         0.141,        89.561,         0.000,         0.004,         1.508,        48.353,        25.772,         0.637,        43.896,         0.941,         0.036,        0.0000,       -0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   441,     P-996,   2025/07/27 00:42:09,Picarro_Sample_Tray-86,       5,        -8.787,       -16.474,      -171.507,        -0.056,         12313,       0,    1,                                        ,                                        ,                 H2O, 1753602403.58,         0.185,         0.182,         0.656,         0.140,        89.587,         0.000,         0.004,         1.514,        48.283,        25.726,         0.637,        44.006,         0.942,         0.032,       -0.0000,       -0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   442,     P-996,   2025/07/27 00:51:08,Picarro_Sample_Tray-86,       6,        -8.784,       -16.482,      -171.642,        -0.048,         12302,       0,    1,                                        ,                                        ,                 H2O, 1753602943.08,         0.179,         0.174,         0.590,         0.140,        89.546,         0.000,         0.004,         1.518,        48.234,        25.905,         0.628,        43.346,         0.940,        -0.043,        0.0000,       -0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   443,     P-996,   2025/07/27 01:00:09,Picarro_Sample_Tray-86,       7,        -8.784,       -16.498,      -171.697,        -0.039,         12342,       0,    1,                                        ,                                        ,                 H2O, 1753603483.48,         0.184,         0.170,         0.578,         0.139,        90.445,        -0.000,         0.002,         1.524,        48.451,        25.904,         0.638,        43.573,         0.941,        -0.051,       -0.0000,        0.0000,    0,        39.750,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   444,     P-996,   2025/07/27 01:09:09,Picarro_Sample_Tray-86,       8,        -8.788,       -16.460,      -171.763,        -0.063,         12301,       0,    1,                                        ,                                        ,                 H2O, 1753604024.17,         0.183,         0.171,         0.663,         0.139,        89.537,         0.000,         0.004,         1.511,        48.263,        25.769,         0.638,        43.564,         0.939,        -0.022,       -0.0000,        0.0000,    0,        39.688,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   445,     P-996,   2025/07/27 01:18:08,Picarro_Sample_Tray-86,       9,        -8.787,       -16.505,      -171.903,        -0.039,         12307,       0,    1,                                        ,                                        ,                 H2O, 1753604562.89,         0.197,         0.177,         0.642,         0.148,        90.196,         0.000,         0.002,         1.519,        48.332,        25.767,         0.646,        43.432,         0.940,        -0.077,        0.0000,       -0.0000,    0,        39.625,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   446,     P-996,   2025/07/27 01:27:08,Picarro_Sample_Tray-86,      10,        -8.771,       -16.501,      -171.830,        -0.025,         12342,       0,    1,                                        ,                                        ,                 H2O, 1753605102.83,         0.225,         0.178,         0.699,         0.174,        89.207,         0.001,         0.002,         1.500,        48.424,        25.699,         0.649,        44.371,         0.942,         0.106,       -0.0000,       -0.0000,    0,        39.688,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   447,     P-996,   2025/07/27 01:36:08,Picarro_Sample_Tray-86,      11,        -8.786,       -16.477,      -171.844,        -0.053,         12333,       0,    1,                                        ,                                        ,                 H2O, 1753605643.23,         0.201,         0.181,         0.668,         0.153,        89.849,         0.000,         0.002,         1.511,        48.388,        25.824,         0.648,        43.753,         0.942,        -0.014,        0.0000,        0.0000,    0,        39.625,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   448,     P-996,   2025/07/27 01:45:08,Picarro_Sample_Tray-86,      12,        -8.813,       -16.518,      -171.984,        -0.057,         12281,       0,    1,                                        ,                                        ,                 H2O, 1753606182.85,         0.196,         0.171,         0.680,         0.153,        89.988,        -0.000,         0.002,         1.519,        48.142,        25.901,         0.635,        43.167,         0.943,        -0.040,        0.0000,       -0.0000,    0,        39.625,Picarro_Sample_Tray,      86,       2,    UBC_01,       0,       1
   449,     P-997,   2025/07/27 01:54:20,Picarro_Sample_Tray-93,       1,        -8.261,       -15.509,      -156.112,        -0.043,         12790,      -1,    1,                                        ,                                        ,                 H2O, 1753606735.13,         0.185,         0.162,         0.595,         0.147,        90.655,         0.000,         0.001,         1.525,        50.484,        26.627,         0.663,        46.039,         0.941,         0.087,        0.0000,        0.0000,    0,        39.562,Picarro_Sample_Tray,      93,       3,    UBC_01,       0,       1
   450,     P-997,   2025/07/27 02:03:21,Picarro_Sample_Tray-93,       2,        -8.235,       -15.464,      -154.990,        -0.041,         12283,      -1,    1,                                        ,                                        ,                 H2O, 1753607276.03,         0.195,         0.173,         0.587,         0.148,        88.597,         0.000,         0.000,         1.500,        48.187,        25.668,         0.640,        43.876,         0.942,        -0.060,       -0.0000,       -0.0000,    0,        39.562,Picarro_Sample_Tray,      93,       3,    UBC_01,       0,       1
   451,     P-997,   2025/07/27 02:12:21,Picarro_Sample_Tray-93,       3,        -8.207,       -15.436,      -154.764,        -0.027,         12305,      -1,    1,                                        ,                                        ,                 H2O, 1753607815.97,         0.212,         0.193,         0.608,         0.149,        89.217,         0.001,         0.002,         1.504,        48.325,        25.682,         0.639,        43.889,         0.940,        -0.045,       -0.0000,       -0.0000,    0,        39.500,Picarro_Sample_Tray,      93,       3,    UBC_01,       0,       1
